date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,4060.0,,88900770857.6351,,22.7849790406525,30.1336493582251,78.7644097095513,28.5842606080213,16.2389114446219,4.33993687249512
2017,3880.0,2.30772096942907,88019706803.834,,21.6847357973021,28.8600239548216,78.3493528963812,28.8259352611383,16.4380364196726,8.15680355840325
2016,3810.0,2.53616035987963,82401038709.5356,,21.1739837919769,28.4621029250889,79.4359397929793,27.8521793401327,16.7272601598179,4.8431358204671
2015,3760.0,1.84555593582027,80604080688.5775,77.6503941209344,21.013103191359,28.5456934017751,76.3512015152355,31.1813886951806,18.0498742864745,0.649042284642704
2014,3640.0,1.58712140692445,79356449840.5771,71.332798378903,21.088762290753,29.162120411209,75.7638430596856,32.3095150617356,14.7710330303848,2.91210382604123
2013,3490.0,1.29977025933283,74317806538.3632,70.8211060610562,20.3203983024553,28.9373940401479,75.3675798994233,33.2494158382693,14.6677613572832,6.23691336073352
2012,3360.0,1.43,68434409315.1123,68.710394650639,19.8164817811519,31.6755983185886,72.8035720713879,39.0555409664635,15.5115452833492,10.8284322331401
2011,2850.0,1.68,65292753005.4664,71.1081093769161,20.8968387282014,34.0877374508357,79.8270226081954,33.3638720336013,16.1655744129012,3.83139408196725
2010,2410.0,1.7,56725749221.9043,71.585318439823,19.5523202563194,26.8115666917605,76.9067666101192,30.3524724520065,16.8498263445687,22.7992606321892
2009,2010.0,1.74,42066217871.5349,86.063491912486,21.328366243783,27.8207752870405,82.0585226169334,24.4338657450541,20.9584196862527,5.87988263605756
2008,1790.0,1.81818181818183,40713812309.7316,,24.8414870988205,38.5275565094015,86.1337090273114,27.5523830555003,19.2117908296268,16.3270160244553
2007,1550.0,1.89636363636365,32350248410.8216,84.9944169483341,29.1149996870361,39.491511973103,82.4243968739382,27.9521433553302,20.0467042670386,14.0284428246798
2006,1360.0,1.97454545454545,28279814924.5918,88.6994841221229,30.1285270937972,41.1326513945037,83.0242149536527,27.9799093470538,21.1477261899901,11.277029448259
2005,1210.0,2.05272727272727,24405791044.7761,90.6049131149854,32.3368729874893,41.267099970564,82.1027714652179,26.8274555178569,20.1959652345785,10.4187267507289
2004,1060.0,2.13090909090909,20662525941.2986,102.328536698869,35.3309027324412,44.1520421686776,83.5673779115676,25.2537615246688,20.7110918525129,8.80149246229982
2003,940.0,2.20909090909092,18881765437.2151,102.270712023476,34.6535028324228,40.6827444981201,84.0087727191918,22.0204689465055,20.4778355504733,8.74866439798984
2002,840.0,2.28727272727274,16536535647.0834,105.524990754701,34.9133301978336,41.4218015848181,83.9902765055614,23.2890507211333,22.9069749065198,8.1115702567553
2001,830.0,2.36545454545456,15749753804.8344,103.219274149885,37.3311884768914,43.5674130558662,81.6395930646484,22.0040128023487,23.8133775946818,13.6648001630004
2000,870.0,2.44363636363636,16330814179.9766,96.9040326453759,39.015700886425,49.620740818488,81.99277851461,28.0392736849136,22.9886867106222,7.27743020744779
1999,840.0,2.52181818181818,15656327859.5696,95.1081546127673,35.4837047170656,43.2677736325718,80.6155173183913,27.2905151438158,21.2193355473917,4.16270115905732
1998,820.0,2.6,15794972847.1683,89.1958239111344,36.2438186772706,42.2511704483166,81.4906000671915,25.1367897004478,21.76483763038,9.21416012753333
1997,800.0,2.8550669,15091913883.7091,86.105931670321,36.5381180807663,43.599435228784,82.1534855077999,24.3861426620179,22.8316739153877,8.92446881754034
1996,740.0,2.8,13897738375.2488,92.343984335944,34.9733377770372,43.9006259373438,82.4506332277954,24.2490834860857,24.9761758456924,10.817455797579
1995,690.0,2.4,13029697560.9756,94.6498205974494,35.597629130901,46.0374199577101,83.4795858466662,25.7310878563342,25.9507736173424,9.30343963003443
1994,640.0,2.6,11717604208.8223,94.8553232346257,33.8128837957878,45.617906901244,81.7840244247812,27.0271670431233,24.3020010913788,9.77058481787985
1993,600.0,2.5,10338679635.7616,96.7978140982655,33.8010068759821,43.3465114649745,81.3846246234224,25.557234794271,22.8388698167406,9.88439431013713
1992,550.0,2.0,9703011635.86585,95.3619119503954,31.7703740803183,41.03338247708,81.9577316751434,24.2753648746834,23.9797969822448,9.40370611576743
1991,490.0,2.1,9000362581.58086,98.4833957754233,28.7410868952182,38.8548254978582,82.2673595724395,22.8701875948381,25.510749439364,10.6240231638717
1990,460.0,1.9,8032551173.24014,96.5806255127663,30.1808045148298,38.0631106580812,82.293774706014,22.205889665117,24.6360912910524,20.0632752928865
1989,440.0,2.6,6987267683.77254,,27.2602038183182,36.7567717782692,83.1240496881588,21.724476063059,,10.9231572547566
1988,460.0,2.4,6978371581.26375,,26.0764386301592,36.8367705489634,82.5872818516817,22.7775225018245,,10.1170340331542
1987,430.0,2.1,6682167119.56522,,25.1922754329692,35.6963852726931,82.7815252919079,23.332299731094,,7.75149159609157
1986,410.0,2.1,6405210563.88294,,23.7181987363072,35.3293513266546,83.2517802021463,23.6596944404203,,5.91728493231341
1985,370.0,2.2,5978460972.01767,,26.0120092378753,37.9652040030793,83.2828945342571,23.8226327944573,,0.583905559069791
1984,330.0,1.8,6043474842.76729,,28.8040014049146,34.7436681279513,80.9282843130878,25.8270133857141,,20.3005158850425
1983,310.0,2.1,5167913302.16745,,26.3287308492529,41.4314027022804,81.4030394486888,28.8912097762354,,16.9068302708056
1982,310.0,2.2,4768765016.81884,,27.3564561962152,46.2574820129386,81.6812108264979,30.7614018823435,,12.1010603630659
1981,300.0,2.0,4415844155.84416,,30.459384742074,46.5360861125816,80.9042409270043,27.7748367743074,,20.8853013295482
1980,280.0,2.3,4024621899.57653,,32.2184977527921,54.7988034933185,82.1317810813655,33.7682444721692,,19.9775120066624
1979,260.0,2.3,3364611432.24149,,33.7106534063794,45.7537175253403,82.8503636398343,25.8212915417947,,15.3972960666646
1978,240.0,2.4560361,2733183856.50224,,34.7708894878706,39.5452947380757,83.2729872260635,20.0492206726825,,10.9178858114528
1977,260.0,2.4560361,4104509582.86359,,33.8149257011014,30.1562886258137,82.4663388908726,14.4450243085121,,14.6910836117856
1976,260.0,2.4560361,3591319857.31272,,29.0467834321094,31.3809886435122,84.0096016951958,16.2103102340827,,9.9755731534555
1975,270.0,2.9,3791298145.50642,,27.4899349061218,34.9587989615081,83.4438800466569,15.5773789366746,,5.35029466515607
1974,250.0,2.8,3574586466.16541,,26.4313659501073,33.8984476883598,85.7570148500273,15.7124226999285,,24.3787426265095
1973,210.0,3.5,2875625000.0,,24.3479678330798,25.5596609432732,85.2771136709411,13.7361443164529,,12.7485944927226
1972,180.0,3.1788153,2553936348.40871,,22.3257034170656,23.8997835639798,86.8699416278612,17.301764281498,,8.96686003234134
1971,170.0,3.1788153,2369308600.33727,,24.6120996441281,26.6120996441281,87.0885409252669,17.067615658363,,1.49845269051552
1970,170.0,3.9,2296470588.23529,,25.4537470725995,28.6007025761124,86.5165398126464,18.9475995316159,,12.5084703976964
1969,170.0,,1965546218.48739,,18.3924754168448,24.617357845233,87.3218725951261,19.2731936725096,,1.29848520139046
1968,160.0,,1801344537.81513,,20.6214425678828,23.5886908649809,87.9870766072595,15.8518380294831,,12.0983735348343
1967,170.0,,1859465020.57613,,20.4603297554498,23.304193869647,88.6756667035521,15.2373575301538,,1.83887555931592
1966,150.0,,1751470588.23529,,22.3701571308624,25.8486266042941,88.9494062612451,14.333693175003,,-1.80354437433166
1965,130.0,,1698319327.73109,,25.9030183077684,25.4948045522019,89.476966848095,12.5309252845126,,1.16754671179402
1964,130.0,,1309747899.15966,,24.6155221290607,26.7217396876675,89.1283761172351,14.4438262305987,,1.59871045368804
1963,130.0,,1240672268.90756,,25.7568075413568,27.4925716773732,87.1153007538189,17.0045531857339,,3.31096996153465
1962,,,1434156378.60082,,27.7926736422291,29.2012956134026,87.1080428780832,15.333955061496,,-2.34660744502496
1961,,,1444327731.09244,,27.5375436843795,28.4854295359203,85.7556514691082,17.2910188252537,,
1960,,,1409873949.57983,,29.9532498882432,32.9126434212487,90.6113649232603,14.2065676370246,,
